constituency_geographic_code,country_name,constituency_name,result_summary_2024,con_2024,lab_2024,ruk_2024,turnout_2024,prev_con_2024,prev_lab_2024,con_lost_2024,con_2019,lab_2019,turnout_2019,pct_age_18_24,pct_age_65_plus,pct_born_outside_uk,pct_christian,pct_no_religion,pct_owner_occupiers,pct_no_qualifications,pct_higher_education,pct_white,pct_lgb_plus,hanretty_leave,DIF_Cons,DIF_Turnout
E14001082,England,Beaconsfield,Con hold,0.387504,0.151196,0.12687,0.656018473972866,1,0,0,0.554994,0.099006325,0.727829634239093,0.056172321,0.215360056,0.159792654,0.482518062,0.320977289,0.712504453,0.137963601,0.426028027,0.795907791,0.018314784,0.49717368,-0.16749,-0.0718111602662265
E14001083,England,Beckenham and Penge,Lab hold,0.246027,0.493145,0.102543,0.676468302287624,0,1,0,0.39052576,0.4010176,0.784887438825449,0.057547108,0.158893856,0.233389641,0.463947737,0.386215586,0.616351252,0.121223265,0.486306644,0.727902648,0.037856412,0.416526542,-0.14449876,-0.108419136537825
E14001084,England,Bedford,Lab hold,0.219189,0.451118,0.111857,0.560984022737934,0,1,0,0.4195009,0.44338349,0.665111034994577,0.081636365,0.157897609,0.281097058,0.465853082,0.307713293,0.543622215,0.197585568,0.320183569,0.692987641,0.029558711,0.521569967,-0.2003119,-0.104127012256642
E14001085,England,Bermondsey and Old Southwark,Lab hold,0.076563,0.448289,0.090339,0.541190524164532,0,1,0,0.16802877,0.49637136,0.649910767400357,0.132870461,0.072333119,0.454768525,0.41181411,0.368187757,0.237294851,0.125552119,0.569352651,0.559887353,0.086754572,0.277336873,-0.09146577,-0.108720243235825
E14001086,England,Bethnal Green and Stepney,Lab hold,0.04116,0.340772,0.042103,0.572784538120557,0,1,0,0.10139937,0.7351204,0.648714285714286,0.148842677,0.060335442,0.464073275,0.183231039,0.24971205,0.201447266,0.18146647,0.461951674,0.35727663,0.076329364,0.33067504,-0.06023937,-0.0759297475937292
E14001087,England,Beverley and Holderness,Con hold,0.345257,0.342495,0.182596,0.623621412895519,1,0,0,0.6098862,0.24660994,0.695943855306461,0.060555276,0.270532372,0.03881474,0.527529496,0.398205667,0.740621329,0.170830973,0.316662935,0.977899649,0.01965149,0.577442262,-0.2646292,-0.0723224424109421
E14001088,England,Bexhill and Battle,Con hold,0.338974,0.28333,0.166052,0.661375661375661,1,0,0,0.61756843,0.20773268,0.701816026753588,0.056583023,0.322316739,0.073179515,0.509376157,0.40579515,0.73725246,0.18485327,0.297565469,0.956267489,0.02499013,0.587639698,-0.27859443,-0.0404403653779262
E14001089,England,Bexleyheath and Crayford,Lab gain from Con,0.312993,0.361635,0.226893,0.618248289400686,1,0,1,0.6078224,0.28989428,0.67621661805913,0.072587593,0.169002807,0.192864427,0.499234769,0.33844501,0.710633138,0.18640001,0.30511914,0.731808921,0.018697433,0.654431259,-0.2948294,-0.057968328658444
E14001090,England,Bicester and Woodstock,LD gain from Con,0.287959,0.164002,0.107688,0.675413231476874,1,0,1,0.53913176,0.16852917,0.73862393271676,0.062867593,0.184144714,0.163864049,0.507745386,0.390501893,0.679827849,0.141139647,0.38912276,0.893774777,0.027453597,0.490451212,-0.25117276,-0.0632107012398859
E14001091,England,Birkenhead,Lab hold,0.075068,0.520888,0.142393,0.552355585150658,0,1,0,0.15577064,0.59997684,0.678658992277537,0.074367944,0.183981268,0.070368192,0.528982966,0.385343103,0.535462472,0.205679175,0.279588336,0.935396418,0.03450504,0.514120522,-0.08070264,-0.126303407126879
E14001092,England,Birmingham Edgbaston,Lab hold,0.219916,0.443492,0.11657,0.521375736553972,0,1,0,0.35454726,0.5232132,0.639053171511058,0.125533015,0.146235209,0.288824739,0.387408508,0.285943716,0.496436614,0.189994727,0.392392874,0.542263107,0.04208125,0.472724167,-0.13463126,-0.117677434957085
E14001093,England,Birmingham Erdington,Lab hold,0.158245,0.432786,0.227173,0.440687812245846,0,1,0,0.4147811,0.49442154,0.539957843239305,0.08352571,0.140934745,0.2136555,0.458236459,0.305608728,0.517198097,0.265723519,0.241765876,0.630768712,0.026231303,0.59414148,-0.2565361,-0.0992700309934582
E14001094,England,Birmingham Hall Green and Moseley,Lab hold,0.092415,0.3076,0.055401,0.540787147759176,0,1,0,0.1502155,0.662537,0.682743695649305,0.099810745,0.12130228,0.320719839,0.189253014,0.145876315,0.585352678,0.249854632,0.330567607,0.29598722,0.024835622,0.392578079,-0.0578005,-0.141956547890129
E14001095,England,Birmingham Hodge Hill and Solihull North,Lab hold,0.135751,0.312134,0.189126,0.43912165378134,0,1,0,0.2855863,0.5992154,0.536829515613219,0.095729892,0.126402381,0.216131392,0.321757404,0.233780889,0.541634496,0.29495148,0.204479968,0.496627182,0.018723986,0.596907943,-0.1498353,-0.0977078618318789
E14001096,England,Birmingham Ladywood,Lab hold,0.060636,0.425326,0.040378,0.437061641953329,0,1,0,0.098372065,0.82999885,0.581510739700986,0.182714277,0.064186053,0.435117591,0.222750469,0.16243374,0.268736758,0.245795768,0.315809283,0.223264787,0.044403196,0.404038198,-0.037736065,-0.144449097747656
E14001097,England,Birmingham Northfield,Lab gain from Con,0.253373,0.3965,0.209683,0.508480985306828,1,0,1,0.4608395,0.42701182,0.594586503000694,0.075285277,0.16593376,0.133338904,0.4677979,0.39902401,0.544577095,0.234053688,0.274099359,0.778323821,0.029948025,0.573571925,-0.2074665,-0.0861055176938661
E14001098,England,Birmingham Perry Barr,Ind gain from Lab,0.112792,0.341445,0.065268,0.490844793713163,0,1,0,0.20424171,0.6801023,0.633575518582541,0.106098031,0.109093296,0.380269332,0.255937238,0.109652218,0.521142828,0.289043861,0.249058111,0.210251375,0.018168668,0.501394356,-0.09144971,-0.142730724869378
E14001099,England,Birmingham Selly Oak,Lab hold,0.151836,0.452099,0.149181,0.507716905837892,0,1,0,0.31627607,0.55713904,0.633768106442944,0.191142429,0.140521121,0.176427032,0.388904836,0.368172011,0.546482959,0.178372642,0.324726497,0.68869883,0.050251766,0.492441869,-0.16444007,-0.126051200605052
E14001100,England,Birmingham Yardley,Lab hold,0.100542,0.311947,0.140023,0.493750256137044,0,1,0,0.26745573,0.58103853,0.582740015574591,0.096330881,0.125472405,0.268162163,0.29986698,0.183003427,0.583496304,0.276601704,0.235663438,0.440850148,0.020235734,0.574954776,-0.16691373,-0.0889897594375477
E14001101,England,Bishop Auckland,Lab gain from Con,0.256363,0.421402,0.23415,0.571446745353029,1,0,1,0.529963,0.36610046,0.698528478110583,0.067206311,0.238938916,0.031001524,0.581151662,0.35776516,0.632915243,0.225549214,0.257589972,0.980331916,0.023427931,0.595002813,-0.2736,-0.127081732757554
E14001102,England,Blackburn,Ind gain from Lab,0.089336,0.267082,0.124566,0.530786345085514,0,1,0,0.23329133,0.6598236,0.618323746918652,0.09222325,0.132058855,0.228576516,0.312964264,0.160939071,0.570173697,0.266862722,0.254111281,0.478236529,0.018503923,0.555500748,-0.14395533,-0.0875374018331386
E14001103,England,Blackley and Middleton South,Lab hold,0.098054,0.538098,0.21104,0.433453660290721,0,1,0,0.2822787,0.590098,0.526066549912434,0.078496352,0.132278047,0.26901926,0.51200065,0.247354258,0.475246846,0.255448997,0.270867421,0.633007035,0.031636651,0.56805852,-0.1842247,-0.0926128896217133
E14001104,England,Blackpool North and Fleetwood,Lab gain from Con,0.289333,0.400478,0.237096,0.570092311048692,1,0,1,0.55838394,0.35619804,0.663801793198578,0.061289576,0.264493516,0.041978091,0.558927237,0.374298736,0.693053312,0.220873117,0.242287547,0.972758705,0.029108087,0.677646174,-0.26905094,-0.0937094821498864
E14001105,England,Blackpool South,Lab gain from Con,0.156453,0.480841,0.286185,0.45416989413891,1,0,1,0.48840004,0.4011647,0.557558070749694,0.074537397,0.188349248,0.088044386,0.496102496,0.419194181,0.539627953,0.251926642,0.221156209,0.940272321,0.052873768,0.669171691,-0.33194704,-0.103388176610784
E14001106,England,Blaydon and Consett,Lab hold,0.143358,0.501232,0.237043,0.598918949593542,0,1,0,0.34857872,0.4398169,0.669369895814033,0.065444254,0.217269678,0.034646602,0.554974051,0.388713466,0.66918248,0.18523607,0.291579698,0.978028986,0.027358715,0.536847937,-0.20522072,-0.070450946220491
E14001107,England,Blyth and Ashington,Lab hold,0.151506,0.49578,0.268731,0.527462628108884,0,1,0,0.33454293,0.47685507,0.569766208980544,0.07131531,0.210449599,0.031260509,0.488260321,0.449210132,0.590401643,0.21718891,0.225885608,0.974816692,0.025993865,0.629345675,-0.18303693,-0.0423035808716595
E14001108,England,Bognor Regis and Littlehampton,Con hold,0.327806,0.290903,0.214565,0.62230983423114,1,0,0,0.6216911,0.1897353,0.682080924855491,0.065852155,0.271609782,0.120795487,0.511143284,0.405426863,0.673936496,0.205092644,0.248285809,0.954968755,0.028448745,0.638291518,-0.2938851,-0.0597710906243517
E14001109,England,Bolsover,Lab gain from Con,0.256257,0.405265,0.215181,0.549613377025399,1,0,1,0.47709957,0.361656,0.611622924477772,0.067722322,0.206621472,0.051914291,0.483621697,0.447750167,0.660465327,0.239982126,0.222120239,0.973812238,0.025796478,0.705338188,-0.22084257,-0.0620095474523725
E14001110,England,Bolton North East,Lab gain from Con,0.219401,0.372841,0.21744,0.541912986964293,1,0,1,0.45012438,0.4244844,0.647156582705791,0.076511175,0.180981057,0.152434061,0.487034534,0.276426904,0.599724897,0.226319876,0.264596273,0.755104549,0.024844721,0.581891175,-0.23072338,-0.105243595741498
E14001111,England,Bolton South and Walkden,Lab hold,0.112916,0.408692,0.226103,0.463816533118987,0,1,0,0.3174109,0.5658876,0.580907602092028,0.087059643,0.133046238,0.22818517,0.408455835,0.268237599,0.505420371,0.264189522,0.235339457,0.645941456,0.030005567,0.628430532,-0.2044949,-0.117091068973041
E14001112,England,Bolton West,Lab gain from Con,0.278443,0.389322,0.190973,0.595171686706792,1,0,1,0.5654327,0.35249057,0.691410745233969,0.066749438,0.19899657,0.099547813,0.551205861,0.274183372,0.715875209,0.17664388,0.330563634,0.830682822,0.022120384,0.554183074,-0.2869897,-0.0962390585271774
E14001113,England,Bootle,Lab hold,0.043056,0.687474,0.122068,0.532332927146515,0,1,0,0.091715135,0.7944442,0.653961752267468,0.075014796,0.173840994,0.065070741,0.648556943,0.283008818,0.525150995,0.243076102,0.23966872,0.953689361,0.032861232,0.548743611,-0.048659135,-0.121628825120953
E14001114,England,Boston and Skegness,RUK gain from Con,0.333951,0.18858,0.383636,0.533629684346599,1,0,1,0.7642721,0.1555822,0.593858005962589,0.066170332,0.243043422,0.162506915,0.574171615,0.343007143,0.601528384,0.291160318,0.180847873,0.957337121,0.022205215,0.761919692,-0.4303211,-0.06022832161599
E14001115,England,Bournemouth East,Lab gain from Con,0.285838,0.407838,0.139568,0.620698233684385,1,0,1,0.50593984,0.32719752,0.674128435351837,0.085226954,0.180328789,0.212481016,0.471534908,0.401961884,0.571031772,0.151072533,0.349816995,0.88063033,0.04315063,0.519459449,-0.22010184,-0.0534302016674523
E14001116,England,Bournemouth West,Lab gain from Con,0.282637,0.364427,0.168629,0.561038443473434,1,0,1,0.535758,0.31847787,0.634615918106916,0.157154982,0.178018821,0.194976524,0.42316194,0.448194816,0.549148099,0.158028478,0.307809419,0.884909531,0.055991237,0.590165931,-0.253121,-0.073577474633482
E14001117,England,Bracknell,Lab gain from Con,0.319342,0.337227,0.169834,0.611735975439576,1,0,1,0.55498207,0.253647,0.667473344057397,0.072888933,0.144294346,0.177367063,0.461549043,0.414967724,0.642412356,0.13555722,0.341956316,0.856602476,0.027255651,0.543740237,-0.23564007,-0.0557373686178216
E14001118,England,Bradford East,Lab hold,0.092702,0.378816,0.133061,0.495130647650471,0,1,0,0.21712054,0.62982154,0.596479556479557,0.09646867,0.110242705,0.254258839,0.25859287,0.214128443,0.556962939,0.288932676,0.219000216,0.457030725,0.02166287,0.557195706,-0.12441854,-0.101348908829086
E14001119,England,Bradford South,Lab hold,0.146874,0.35812,0.225198,0.465386836434316,0,1,0,0.4006212,0.46736285,0.576795034560587,0.079934105,0.142122363,0.144830137,0.373670627,0.343586974,0.596321239,0.254572038,0.226300904,0.704038952,0.024088589,0.639575996,-0.2537472,-0.111408198126271
E14001120,England,Bradford West,Lab hold,0.082387,0.316173,0.079771,0.476026034378731,0,1,0,0.15175888,0.762206,0.621137275814645,0.116981567,0.104250954,0.324886953,0.197206543,0.130007004,0.521965995,0.290267753,0.252941306,0.295315398,0.022118229,0.492260026,-0.06937188,-0.145111241435915
